0,0,10,320,203.0,358.5
0,320,26,319,209.0,352.5
2821,319,42,318,215.0,347.5
2863,319,209,318,221.0,342.5
3072,319,219,318,226.0,338.5
3291,319,230,318,232.0,334.5
4669,636,358,317,237.0,329.5
3299,637,367,318,242.0,326.5
3342,0,462,318,246.0,322.5
3521,318,472,318,251.0,318.5
3666,636,482,318,256.0,315.5
0,639,491,319,260.0,312.5
3804,0,499,318,264.0,308.5
10,0,506,319,267.0,306.5
3993,318,514,318,271.0,303.5
4148,636,521,318,274.0,300.5
4303,0,527,318,277.0,298.5
26,319,534,319,280.0,296.5
491,638,539,319,282.0,294.5
4507,318,546,318,285.0,292.5
516,0,551,319,287.0,291.5
560,319,554,319,288.0,290.5
1030,638,558,319,289.0,289.5
1067,0,561,319,290.0,288.5
1114,319,564,319,290.0,288.5
1588,638,566,319,290.0,288.5
1628,0,568,319,290.0,288.5
1678,319,570,319,290.0,288.5
2154,638,571,319,290.0,288.5
2196,0,572,319,290.0,288.5
2248,319,573,319,290.0,288.5
2725,638,574,319,290.0,288.5
2768,0,574,319,290.0,288.5
